"","bird","session","accuracy","Euclidean","CityBlock"
"350","43R",3,0,3,3
"351","43R",3,1,5.09901951359278,6
"352","43R",3,1,2.23606797749979,3
"353","43R",3,1,7.61577310586391,10
"354","43R",3,1,7.07106781186548,8
"355","43R",3,1,8,8
"356","43R",3,1,8.24621125123532,10
"357","43R",3,1,8.60232526704263,12
"358","43R",3,1,7.81024967590665,11
"359","43R",3,1,8.54400374531753,11
"360","43R",3,1,8.54400374531753,11
"361","43R",3,1,2.23606797749979,3
"362","43R",3,1,6.40312423743285,9
"363","43R",3,1,4,4
"364","43R",3,1,8.06225774829855,11
"365","43R",3,1,7,7
"366","43R",3,1,8.48528137423857,12
"367","43R",3,1,8,8
"368","43R",3,1,6.08276253029822,7
"369","43R",3,1,2,2
"370","43R",3,1,7.07106781186548,10
"371","43R",3,1,6.70820393249937,9
"372","43R",3,1,6.32455532033676,8
"373","43R",3,0,10,14
"374","43R",3,1,5.09901951359278,6
"375","43R",3,1,8.06225774829855,9
"376","43R",3,1,1,1
"377","43R",3,1,5.09901951359278,6
"378","43R",3,1,9.4339811320566,13
"379","43R",3,1,6,6
"380","43R",3,1,4,4
"381","43R",3,1,8.24621125123532,10
"382","43R",3,1,8.94427190999916,12
"383","43R",3,1,5,7
"384","43R",3,1,7.21110255092798,10
"385","43R",3,1,5,7
"386","43R",3,1,3,3
"387","43R",3,1,7.07106781186548,10
"388","43R",3,1,8.06225774829855,11
"389","43R",3,1,8,8
"390","43R",3,1,1,1
"391","43R",3,1,7.07106781186548,8
"392","43R",3,1,6.70820393249937,9
"393","43R",3,1,7.28010988928052,9
"394","43R",3,1,8.60232526704263,12
"395","43R",3,0,1.4142135623731,2
"396","43R",3,1,3.60555127546399,5
"397","43R",3,1,6.32455532033676,8
"398","43R",3,1,6.08276253029822,7
"399","43R",3,1,9.21954445729289,13
"400","43R",3,1,5,5
"401","43R",3,1,3.16227766016838,4
"402","43R",3,1,9.21954445729289,13
"403","43R",3,1,6.70820393249937,9
"404","43R",3,1,7,7
"405","43R",3,1,6.32455532033676,8
"406","43R",3,1,8.94427190999916,12
"407","43R",3,1,7.21110255092798,10
"408","43R",3,1,5,5
"409","43R",3,1,3.60555127546399,5
"410","43R",3,1,10,14
"411","43R",3,0,3,3
"412","43R",3,0,1.4142135623731,2
"413","43R",3,1,9.4339811320566,13
"414","43R",3,1,7.81024967590665,11
"415","43R",3,1,8.06225774829855,11
"416","43R",3,1,5,7
"417","43R",3,1,5,7
"418","43R",3,1,6.40312423743285,9
"419","43R",3,1,9.89949493661167,14
"420","43R",3,1,7.28010988928052,9
"421","43R",3,1,2.82842712474619,4
"422","43R",3,0,4.12310562561766,5
"423","43R",3,1,6.40312423743285,9
"424","43R",3,1,7.61577310586391,10
"425","43R",3,1,3.60555127546399,5
"426","43R",3,1,7.81024967590665,11
"427","43R",3,1,4,4
"428","43R",3,1,8.60232526704263,12
"429","43R",3,1,6.08276253029822,7
"430","43R",3,1,3.16227766016838,4
"431","43R",3,1,3.16227766016838,4
"432","43R",3,1,4,4
"433","43R",3,1,5,5
"434","43R",3,1,6.32455532033676,8
"435","43R",3,1,6.08276253029822,7
"436","43R",3,1,9.89949493661167,14
"437","43R",3,0,1,1
"438","43R",3,1,8.06225774829855,9
"439","43R",3,1,6,6
"440","43R",3,1,7,7
"441","43R",3,1,9.21954445729289,13
"442","43R",3,1,5.8309518948453,8
"443","43R",3,1,6.40312423743285,9
"444","43R",3,1,10.6301458127346,15
"445","43R",3,1,7.07106781186548,8
"446","43R",3,1,9.21954445729289,13
"447","43R",3,1,2.82842712474619,4
"448","43R",3,1,2,2
"449","43R",3,1,8.48528137423857,12
"450","43R",3,1,8.24621125123532,10
"451","43R",3,1,4.24264068711928,6
"452","43R",3,1,10,14
"453","43R",3,1,8.06225774829855,9
"454","43R",3,1,5.3851648071345,7
"455","43R",3,1,2.23606797749979,3
"456","43R",3,1,4.47213595499958,6
"457","43R",3,1,11.3137084989848,16
"458","43R",3,1,7.28010988928052,9
"459","43R",3,1,5.8309518948453,8
"460","43R",3,1,8.06225774829855,11
"461","43R",3,1,6,6
"462","43R",3,1,8.24621125123532,10
"463","43R",3,1,3.60555127546399,5
"464","43R",3,1,7.61577310586391,10
"465","43R",3,1,7.21110255092798,10
"466","43R",3,1,8.94427190999916,12
"467","43R",3,1,3,3
"468","43R",3,1,5,5
"469","43R",3,1,2,2
"470","43R",3,1,8.60232526704263,12
"471","43R",3,1,4.47213595499958,6
"472","43R",3,1,5.65685424949238,8
"473","43R",3,1,5.09901951359278,6
"474","43R",3,1,5.3851648071345,7
"475","43R",3,1,8.94427190999916,12
"476","43R",3,0,1,1
"477","43R",3,1,4.24264068711928,6
"478","43R",3,1,8.06225774829855,9
"479","43R",3,1,8.54400374531753,11
"480","43R",3,1,9.4339811320566,13
"481","43R",4,1,10.6301458127346,15
"482","43R",4,0,6.40312423743285,9
"483","43R",4,1,3.60555127546399,5
"484","43R",4,1,5.8309518948453,8
"485","43R",4,1,10.6301458127346,15
"486","43R",4,1,7.07106781186548,8
"487","43R",4,0,3.60555127546399,5
"488","43R",4,0,6,6
"489","43R",4,1,8.60232526704263,12
"490","43R",4,1,5.09901951359278,6
"491","43R",4,1,2,2
"492","43R",4,1,8.94427190999916,12
